id|name|url|logo_url|country|main_activity|website|parent_company|description|brand_count|country_de|country_es|country_fr|country_cs|country_it|country_ru|country_pl|country_pt|country_el|country_zh|country_ja|country_nl|country_sr|country_ro|country_ar|country_uk|country_mn|country_ko|country_tr|country_sv|country_he|country_hu|main_activity_de|main_activity_es|main_activity_fr|main_activity_cs|main_activity_it|main_activity_ru|main_activity_pl|main_activity_pt|main_activity_el|main_activity_zh|main_activity_ja|main_activity_nl|main_activity_sr|main_activity_ro|main_activity_ar|main_activity_uk|main_activity_mn|main_activity_ko|main_activity_tr|main_activity_sv|main_activity_he|main_activity_hu
b5|Hermès|https://www.fragrantica.com/designers/Hermes.html|https://fimgs.net/mdimg/dizajneri/o.69.jpg|France|Accessories|https://www.hermes.com/||<p>Hermès is a French luxury goods house founded in 1837 by Thierry Hermes. Originally focused on equestrian accessories, the company has evolved over time into leather handbags, scarves, accessories, fashion and fragrance.</p><p>For Hermès, the perfume adventure begins in 1951 with Eau d’Hermès, composed by Edmond Roudnitska, one of the greatest creative spirits of the world of fragrances.</p><p>Ten years later, the birth of Calèche, the establishment’s first women’s perfume, confirmed the involvement of Hermès in the craft of perfume creation. Since then, fragrance has followed fragrance, each signed by the great names of perfume design. The arrival of Jean-Claude Ellena, in 2004, as the in-house perfumer for Hermès, was a decisive step. As an artist of olfactory emotion, an aesthete who goes beyond scale and material, he shares Hermès' sense of craftsmanship and expertise.</p><p>The encounter between Edmond Roudnitska and Émile Hermès (grandson of founder Thierry Hermès) gave birth to Eau d’Hermès, which remains one of the crowning glories of French perfumery.</p><p>In 1961, at the prompting of Jean-René Guerrand (son-in-law of Émile Hermès and founder of the fragrances branch), the perfumer Guy Robert composed Calèche, a masterpiece which instantly transformed Hermès into one of the major players of modern perfumery. Nine years later, moreover, he would be the author of Équipage, the House's first perfume for men.</p><p>The most recent encounter with Jean-Claude Ellena, was embodied in the creation of Un Jardin en Méditerranée in 2003, and then in 2004 with his official appointment as exclusive perfumer of the House. Since then, the deep affinity that has been established between the perfume designer and Hermès has continued to bear fruit, as if confirming the essential rightness of their mutual involvement. Jean-Claude Ellena is both heir and creator of a genealogy now structured into four territories of olfactive expression: the Colognes, the Garden-Perfumes, the Novel-Perfumes and the Hermessence collection.</p><p>Designer <b>Hermès</b> has <b>138</b> perfumes in our fragrance base. Hermès is an old perfume house. The earliest edition was created in 1944 and the newest is from 2026. Hermès fragrances were made in collaboration with perfumers Maurice Maurin, Francois Maurin, Jean-Louis Sieuzac, Christine Nagel, Jean Guichard, Jean-Claude Ellena, Guy Robert, Edmond Roudnitska, Francoise Caron, Olivia Giacobetti, Akiko Kamei, Raymond Chaillan, Gilles Romey, Maurice Roucel, Bernard Bourjois, Fabrice Pellegrin, Ralf Schwieger and Nathalie Feisthauer.</p> <div></div>|138|Frankreich|Francia|France|Francie|Francia|Франция|Francja|França|Γαλλία|法国|フランス|Frankrijk|Француска|Franța|فرنسا|Франція|Франц|프랑스|Fransa|Frankrike|צרפת|Franciaország|Accessoires|Accesorios|Accessoires|Doplňky|Accessori|Аксессуары|Akcesoria|Acessórios|Αξεσουάρ|配饰|アクセサリー|Accessoires|Aksesoari|Accesorii|إكسسوارات|Аксесуари|Дагалдах хэрэгсэл|액세서리|Aksesuar|Accessoarer|אביזרים|Kiegészítők
b37|Calvin Klein|https://www.fragrantica.com/designers/Calvin-Klein.html|https://fimgs.net/mdimg/dizajneri/o.18.jpg|United States|Fashion|https://www.calvinkleininc.com/fragrance/|Coty|"<p>Calvin Klein Inc. is an American fashion brand started by Calvin Klein at the end of the 1960s. The brand is famous for its minimalism and classic style, and helped launch the craze for designer jeans in the 1970s when Klein began adding his name on the back pocket. Today, Calvin Klein is known worldwide for their jeans, casual collections, underwear collections and perfumes. Watches and a jewelry collection became part of the brand's offering in 1997. The company's ""cK"" logo is as recognizable as its brand name and adorns many products in their line.</p><p>The company's first perfume, Calvin, was launched in 1981. Calvin Klein has since launched a series of successful perfumes that, for many, capture the spirit of the decades in which they were introduced, including Obsession (1985 for Women, 1986 for Men), cK One (one of the first fragrances marketed as unisex, in 1994), and Euphoria (2005 for women, 2006 for Men). Klein's license for perfumes now belongs to Coty.</p> <p>Designer <b>Calvin Klein</b> has <b>201</b> perfumes in our fragrance base. The earliest edition was created in 1978 and the newest is from 2026. Calvin Klein fragrances were made in collaboration with perfumers Pascal Gaurin, Yves Cassar, Jean-Marc Chaillan, Caroline Sabas, Ann Gottlieb, Sophie Labbe, Honorine Blanc, Annick Menardo, Alberto Morillas, Harry Fremont, René Morgenthaler, Rodrigo Flores-Roux, Ellen Molner, Bruno Jovanovic, Loc Dong, Carlos Benaïm, Gabriela Chelariu, Ilias Ermenidis, Pierre Negrin, Christelle Laprade, Alexandra Carlin, IFF, Richard Herpin, Clement Gavarry, Daniela Andrier, Pierre Wargnye, Anne Flipo, Claude Dir, Steve DeMercado, Sophia Grojsman, Mathieu Nardin, Julie Massé, Ralf Schwieger, Veronique Nyberg, Laurent Le Guernec, Olivier Gillotin, Sonia Constant, Carlos Viñals, Alienor Massenet, Jacques Huclier, Jacques Cavallier Belletrud, Frank Voelkl, Dominique Ropion, Coty, Fanny Bal, Nathalie Lorson, Domitille Michalon Bertier, Caroline Dumur, Nicolas Bonneville, Christophe Raynaud, Jean Guichard, Robert Slattery, Givaudan, Calice Becker, Marypierre Julien, , Thierry Wasser and Michel Almairac.</p> <div></div>"|203|Vereinigte Staaten|Estados Unidos|États-Unis|Spojené státy|Stati Uniti|Соединённые Штаты Америки|Stany Zjednoczone|Estados Unidos|Ηνωμένες Πολιτείες|美国|アメリカ合衆国|Verenigde Staten|Сједињене Америчке Државе|Statele Unite|الولايات المتحدة|Сполучені Штати|Америкийн Нэгдсэн Улс|미국|Amerika Birleşik Devletleri|Förenta staterna|ארצות הברית|Egyesült Államok|Mode|Moda|Mode|Móda|Moda|Мода|Moda|Moda|Μόδα|时尚|ファッション|Mode|Moda|Modă|أزياء|Мода|Загвар өмсгөл|패션|Moda|Mode|אופנה|Divat
b61|Jean Paul Gaultier|https://www.fragrantica.com/designers/Jean-Paul-Gaultier.html|https://fimgs.net/mdimg/dizajneri/o.72.jpg|France|Fashion|https://www.jeanpaulgaultier.com/|Puig|"<p>Jean Paul Gaultier is a renowned designer known for his inclusivity, diversity, and irreverence in the fashion industry. He has been creating fashion since 1976 and has become one of the world's greatest couturiers without attending fashion school. He believes that ""different is beautiful"" and has made it a pillar of his brand to celebrate people of all colors, shapes, and identities.</p><p>In 1993, Gaultier set himself a new challenge and created his first fragrance, Classique. The scent, a combination of vanilla, orange blossom, and ginger, was an instant success and the iconic bottle with its sensual curves became a must-have for many. The brand's masculine alter ego, Le Male, also became a best-seller with its fresh notes of lavender and mint. The House of Gaultier continues to create fragrances with instant appeal, such as Scandal with its captivating honey notes, and the intoxicating new duo La Belle and Le Beau that feature notes of pear and coconut.</p><p>Gaultier's obsession with sensual accords has become synonymous with his brand, and he continues to push boundaries and challenge conventions in the fragrance industry. With a range of deliciously addictive creations to choose from, Gaultier's fragrances are sure to seduce and captivate.</p><p>In addition to his successful fragrance line, Gaultier has also made a mark in Haute Couture, reinventing it by putting exceptional French savoir-faire at the service of his obsession for combining different genres, cultures, and materials. He has also dressed some of the biggest names in pop culture, including Madonna, Mylène Farmer, Kylie Minogue, and many more. Gaultier's designs have been featured in films by Pedro Almodóvar, Luc Besson, and Jean-Pierre Jeunet, and his work has been recognized with two Cesar nominations. Today, a new generation of icons is joining the extended Gaultier family, making his brand a true pop icon in the fashion industry.</p><p></p><p>Jean Paul Gaultier's fragrances have enjoyed worldwide success, with iconic scents such as Classique and Le Male. The brand has recently released a new fragrance, Scandal Pour Homme Le Parfum Eau de Parfum Intense, which is described as having a warm woody fragrance trail and is perfect for men with a swagger. They have also released a new version of Scandal Le Parfum Eau de Parfum Intense, which is designed for women who love a good scandal. The brand offers a variety of other fragrances, including Ultra Male, Le Beau, Classique, Scandal A Paris, Scandal By Night, Scandal Pour Homme, Scandal, La Belle, and Le Male. All of these fragrances are described as intense, addictive, and indulgent, with unique and captivating scent profiles.</p><p>   </p> <p>Designer <b>Jean Paul Gaultier</b> has <b>178</b> perfumes in our fragrance base. The earliest edition was created in 1992 and the newest is from 2026. Jean Paul Gaultier fragrances were made in collaboration with perfumers Francis Kurkdjian, Jacques Cavallier Belletrud, Daphné Bugey, Fabrice Pellegrin, Steve DeMercado, Natalie Gracia-Cetto, Quentin Bisch, Olivier Cresp, Annick Menardo, Sonia Constant, Amelie Jacquin, Christophe Raynaud, Aurélien Guichard, Ane Ayo, Bruno Jovanovic, Hamid Merati-Kashani, Nicolas Bonneville and Louise Turner.</p> <div></div>"|186|Frankreich|Francia|France|Francie|Francia|Франция|Francja|França|Γαλλία|法国|フランス|Frankrijk|Француска|Franța|فرنسا|Франція|Франц|프랑스|Fransa|Frankrike|צרפת|Franciaország|Mode|Moda|Mode|Móda|Moda|Мода|Moda|Moda|Μόδα|时尚|ファッション|Mode|Moda|Modă|أزياء|Мода|Загвар өмсгөл|패션|Moda|Mode|אופנה|Divat
b76|Rabanne|https://www.fragrantica.com/designers/Rabanne.html|https://fimgs.net/mdimg/dizajneri/o.88.jpg|Spain|Fashion|https://www.pacorabanne.com|Puig|"<p>Paco Rabanne is a French fashion house founded in 1966. Francisco ""Paco"" Rabaneda Cuervo, the Spanish-born fashion designer more widely known as Paco Rabanne, fled Spain with his family during the Spanish Civil War. Growing up in Paris, he is an architect by training, but he started his fashion career designing jewelry for other houses before trying his hand at clothing design. He quickly became known for his eclectic fashions featuring unconventional materials such as metal and paper.</p><p>The house's first perfume is the now-legendary women's scent Calandre, introduced in 1969. A series of innovative fragrances in distinctive bottles for both men and women have followed. Paco Rabanne fashions and fragrances are produced in conjunction with Puig.</p> <p>Designer <b>Rabanne</b> has <b>152</b> perfumes in our fragrance base. The earliest edition was created in 1969 and the newest is from 2026. Rabanne fragrances were made in collaboration with perfumers Michel Hy, Robert Gonnon, Olivier Cresp, Rosendo Mateu, Jean Guichard, Jacques Cavallier Belletrud, Jean Martel, Pierre Wargnye, Christian Dussoulier, Emilie Coppermann, Fabrice Pellegrin, Mark Buxton, Dora Baghriche, Marie Salamagne, Alberto Morillas, Clement Gavarry, Veronique Nyberg, Anne Flipo, Olivier Polge, Dominique Ropion, Nicolas Beaulieu, Juliette Karagueuzoglou, Alexandra Carlin, Caroline Dumur, Domitille Michalon Bertier, Aurélien Guichard, Alienor Massenet, Fanny Bal, Véronique Nyberg, Christophe Raynaud, Loc Dong, Paul Guerlain, Olivier Pescheux, Michel Girard, Natalie Gracia-Cetto, Quentin Bisch, Sonia Constant, Beatrice Piquet, Bruno Jovanovic, Jean-Christophe Hérault, Suzy Le Helley, Nathalie Benareau, Jérôme di Marino and Gerard Anthony.</p> <div></div>"|153|Spanien|España|Espagne|Španělsko|Spagna|Испания|Hiszpania|Espanha|Ισπανία|西班牙|スペイン|Spanje|Шпанија|Spania|إسبانيا|Іспанія|Испани|스페인|İspanya|Spanien|ספרד|Spanyolország|Mode|Moda|Mode|Móda|Moda|Мода|Moda|Moda|Μόδα|时尚|ファッション|Mode|Moda|Modă|أزياء|Мода|Загвар өмсгөл|패션|Moda|Mode|אופנה|Divat
b83|Versace|https://www.fragrantica.com/designers/Versace.html|https://fimgs.net/mdimg/dizajneri/o.97.jpg|Italy|Fashion|https://www.versace.com/|Euroitalia SRL|"<p>Versace is an Italian fashion design house founded by the late Gianni Versace and continued by other members of the Versace family after his death. Debuting with a line of women's wear in 1978, the company was an instant success. A men's line and the company's first boutique in Milan followed in that same year. Gianni Versace chose the Medusa symbol as his company's logo. The company's luxurious clothing and accesories are characterized by influences ranging from pop art to classical Greek and Roman architecture.</p><p>Versace became a favorite amongst celebrities—Elton John was an early fan—and the house is unique among Italian fashion houses for its consistent use of celebrities in advertising campaigns. Celebrities who have at one time been the face of Versace include Madonna, Ashton Kutcher, Britney Spears and Halle Berry. Some credit Versace with contributing to the ""supermodel"" phenomenon of the 1990s when the company cast every top fashion model for its 1991/1992 Autumn and Winter runway show.</p><p>Versace's lines grew to include accessories, home furnishing and cosmetics. The brand inclues mulitple lines today: Atelier Versace, Versace Couture, Versace Jeans Couture, Versace Home Collection, Versace Collection, and Versus (Versace). In addition to clothing and accessories, the brand also encompasses a hotel, the Palazzo Versace. Versace Couture is the main line of the house and includes the fragrance division.</p><p>The first Versace fragrance, Gianni Versace for Women, was introduced in 1981. Fragrances for men and women are offered under the Versace, Versus, Jeans and Jeans Couture labels. Versace fragrances are produced in conjunction with Euroitalia SRL.</p><p>Gianni Versace fell victim to an American spree murderer in 1997, but the company continues offering fashions and fragrances under the direction of his family. Sister Donatella, formerly the vice-president of the company and the leader of the Versus division, as well as Gianni Versace's longtime muse and the inspiration for the fragrance Blonde (1995), took over as creative director. Older brother Santo Versace is president and CEO. Niece Allegra Versace is 50% owner of the company.</p><p>Designer <b>Versace</b> has <b>87</b> perfumes in our fragrance base. The earliest edition was created in 1981 and the newest is from 2025. Versace fragrances were made in collaboration with perfumers Nathalie Feisthauer, Jean-Pierre Bethouart, Roger Pellegrino, Marie Salamagne, Nathalie Lorson, Jordi Fernández, Marypierre Julien, Olivier Cresp, Gael Montero, Christophe Raynaud, Jórdi Fernandez, Alberto Morillas, Antoine Lie, Aurélien Guichard, Olivier Pescheux, Antoine Maisondieu, Alexandra Kosinski, Sophie Labbe, Francis Kurkdjian, dsm-firmenich, Dora Baghriche, Francoise Caron, Lucien Piquet, Bernard Ellena, Domitille Michalon Bertier, IFF, Calice Becker, Natalie Gracia-Cetto, Christine Nagel, Mark Buxton, and Louise Turner.</p> <div></div>"|87|Italien|Italia|Italie|Itálie|Italia|Италия|Włochy|Itália|Ιταλία|意大利|イタリア|Italië|Италија|Italia|إيطاليا|Італія|Итали|이탈리아|İtalya|Italien|איטליה|Olaszország|Mode|Moda|Mode|Móda|Moda|Мода|Moda|Moda|Μόδα|时尚|ファッション|Mode|Moda|Modă|أزياء|Мода|Загвар өмсгөл|패션|Moda|Mode|אופנה|Divat
b92|Mugler|https://www.fragrantica.com/designers/Mugler.html|https://fimgs.net/mdimg/dizajneri/o.96.jpg|France|Fashion|https://www.muglerusa.com|L'Oreal|<p>Thierry Mugler is a French fashion designer and photographer known for his 1980s power fashions and widely credited with introducing a new fragrance trend or category—gourmand—in the 1990s.</p><p>Mugler originally trained as a dancer and worked professionally starting at age 14. After studying interior design, he moved to Paris at age 24 and began working as a window dresser and freelance designer. His first personal collection for women was produced in 1973. Mugler opened his first Paris boutique and also launched a menswear collection in 1978. His style is distinguished by its futuristic shapes and fantasy elements.</p><p>Mugler's first fragrance, Angel, was introduced in 1992 and set the fragrance world on fire with its unabashed sweet and foodie notes. Hugely influential on the perfume industry of the 1990s, with influences extending into the 21st century, Angel continues to be a best-seller with both women and men, and was inducted into the Fifi Awards Hall of Fame in 2007.</p><p>Mugler's first official scent for men, A*Men, was introduced in 1996.</p><p>Angel and A*Men have inspired dozens of flankers, along with Alien, another best-seller introduced by Mugler in 2005.</p> <p>Designer <b>Mugler</b> has <b>174</b> perfumes in our fragrance base. The earliest edition was created in 1992 and the newest is from 2026. Mugler fragrances were made in collaboration with perfumers Christophe Laudamiel, Alberto Morillas, Jacques Huclier, Louise Turner, Quentin Bisch, Christine Nagel, Dominique Ropion, Laurent Bruyere, Veronique Nyberg, Claire Liégent, Pierre Aulas, Fanny Bal, Nathalie Lorson, Marie Salamagne, Jean-Christophe Hérault, Olivier Cresp, Yves de Chiris, Aurélien Guichard, Sidonie Lancesseur, Amandine Clerc-Marie, Dorothée Piot, Domitille Michalon Bertier, Anne Flipo, Francoise Caron, Sonia Constant, Daphné Bugey, Christophe Raynaud, Nathalie Feisthauer, Olivier Polge, Alexis Dadier, Fabrice Pellegrin, Shyamala Maisondieu, Mane, Ralf Schwieger, Karine Dubreuil-Sereni and Serge Majoullier.</p> <div></div>|177|Frankreich|Francia|France|Francie|Francia|Франция|Francja|França|Γαλλία|法国|フランス|Frankrijk|Француска|Franța|فرنسا|Франція|Франц|프랑스|Fransa|Frankrike|צרפת|Franciaország|Mode|Moda|Mode|Móda|Moda|Мода|Moda|Moda|Μόδα|时尚|ファッション|Mode|Moda|Modă|أزياء|Мода|Загвар өмсгөл|패션|Moda|Mode|אופנה|Divat
b139|Tom Ford|https://www.fragrantica.com/designers/Tom-Ford.html|https://fimgs.net/mdimg/dizajneri/o.139.jpg|United States|Fashion|https://www.tomford.com/|Estee Lauder|"<p>Thomas Carlyle Ford, better known today as Tom Ford, is an American fashion designer and film director. Initially trained as an architect at Parsons School of Design, Ford spent a year working abroad at an internship for fashion house Chloé and developed a feel for the fashion industry.</p><p>Ford concealed his architecture background and displayed considerable personal charm in his pursuit of a job in the fashion industry. His first position was with American designer Cathy Hardwick. He accepted a position with Perry Ellis, but knew better prospects were available in Europe. Prestigious Italian fashion house Gucci was struggling at the time, and Ford accepted a position in Gucci's women's Ready-to-Wear division in 1990. Ford achieved considerable success at Gucci, eventually heading up multiple divisions before being named Creative Director in 1992. Ford's efforts were pivotal in Gucci's turn-around. The company was nearly bankrupt when Ford joined the organization, but when he left in 2004, the company's value had more than doubled. During Ford's tenure with Gucci, the company acquired Yves Saint Laurent, and Ford created provocative, controversial and highly successful ad campagins for YSL fragrances Opium and M7. These ads were an early indicator of Ford's future direction.</p><p>Tom Ford returned to the U.S. and announced the creation of his own brand in 2005. The company offers fashions, accessories and eyewear, and is known for its sexually-charged advertising. Ford also formed a partnership with Estee Lauder that same year, for the development of fragrances and cosmetics. The first fragrance produced under this alliance, Black Orchid (2006) was an immediate success. A series of successful fragrances for men and women have since been launched, along with a prestige line, Tom Ford Private Blend, whose first fragrance was Purple Patchouli in 2007.</p><p>Ford's career took an unusual turn in 2009 when he directed his first film, ""A Single Man,"" which was well-received by critics and filmgoers and earned a number of awards and nominations for the director and actors.</p> <p>Designer <b>Tom Ford</b> has <b>140</b> perfumes in our fragrance base. The earliest edition was created in 2006 and the newest is from 2026. Tom Ford fragrances were made in collaboration with perfumers David Apel, Pierre Negrin, Calice Becker, Sonia Constant, Yann Vasnier, Shyamala Maisondieu, Antoine Maisondieu, Harry Fremont, Olivier Gillotin, Honorine Blanc, Christophe Laudamiel, Julien Rasquinet, Pascal Gaurin, Rodrigo Flores-Roux, Antoine Lie, Ellen Molner, Guillaume Flavigny, Clement Gavarry, Linda Song, Carlos Benaïm, Jacques Cavallier Belletrud, Olivier Cresp, Richard Herpin, Natalie Gracia-Cetto, Givaudan, Louise Turner, Michael Nordstrand, Anne Flipo and Yves Cassar.</p> <div></div>"|141|Vereinigte Staaten|Estados Unidos|États-Unis|Spojené státy|Stati Uniti|Соединённые Штаты Америки|Stany Zjednoczone|Estados Unidos|Ηνωμένες Πολιτείες|美国|アメリカ合衆国|Verenigde Staten|Сједињене Америчке Државе|Statele Unite|الولايات المتحدة|Сполучені Штати|Америкийн Нэгдсэн Улс|미국|Amerika Birleşik Devletleri|Förenta staterna|ארצות הברית|Egyesült Államok|Mode|Moda|Mode|Móda|Moda|Мода|Moda|Moda|Μόδα|时尚|ファッション|Mode|Moda|Modă|أزياء|Мода|Загвар өмсгөл|패션|Moda|Mode|אופנה|Divat
b741|Maison Francis Kurkdjian|https://www.fragrantica.com/designers/Maison-Francis-Kurkdjian.html|https://fimgs.net/mdimg/dizajneri/o.770.jpg|France|Fragrances|https://www.franciskurkdjian.com/|LVMH|<p>Maison Francis Kurkdjian is a high-end fragrance brand, founded in 2009 by the renowned perfumer Francis Kurkdjian. Kurkdjian is considered a master perfumer, having created over 40 fragrances for some of the world's most prestigious brands. The brand Maison Francis Kurkdjian offers a range of luxury perfumes and home fragrances that are both elegant and sophisticated. The brand's products are known for their attention to detail, as well as their use of high-quality ingredients and innovative fragrances.</p><p>One of the interesting things about Maison Francis Kurkdjian is its approach to fragrance creation. The brand takes a unique and creative approach to fragrance creation, combining traditional techniques with contemporary styles to create fragrances that are both timeless and modern. Each fragrance is carefully crafted, with Kurkdjian personally involved in every aspect of the process from concept to final product. This ensures that each fragrance is of the highest quality, and that it reflects Kurkdjian's passion for fragrance.</p><p>In 2016, Maison Francis Kurkdjian became part of the LVMH Group, one of the world's largest luxury goods companies. This association has further elevated the brand's profile, providing it with the resources and expertise to continue its growth and expansion. Despite this, Maison Francis Kurkdjian has remained true to its roots, continuing to produce fragrances of the highest quality and distinction. Today, the brand is widely recognized as one of the leading names in the world of luxury fragrance, and its products are available in over 70 countries worldwide.</p><p>In conclusion, Maison Francis Kurkdjian is a luxury fragrance brand that offers a range of elegant and sophisticated perfumes and home fragrances. The brand is founded by the renowned perfumer Francis Kurkdjian and is now part of the LVMH Group. Its unique approach to fragrance creation and commitment to quality has made it a leading name in the world of luxury fragrance.</p> <p>Designer <b>Maison Francis Kurkdjian</b> has <b>65</b> perfumes in our fragrance base. Maison Francis Kurkdjian is a new fragrance brand. The earliest edition was created in 2009 and the newest is from 2026. The nose who worked on the fragrances is Francis Kurkdjian.</p> <div></div>|65|Frankreich|Francia|France|Francie|Francia|Франция|Francja|França|Γαλλία|法国|フランス|Frankrijk|Француска|Franța|فرنسا|Франція|Франц|프랑스|Fransa|Frankrike|צרפת|Franciaország|Düfte|Fragancias|Parfums|Parfémy|Fragranze|Ароматы|Zapachy|Fragrâncias|Αρώματα|香水|フレグランス|Parfums|Parfemi|Parfumuri|عطور|Аромати|Үнэртэн|향수|Parfümler|Dofter|בשמים|Illatok
b821|Maison Martin Margiela|https://www.fragrantica.com/designers/Maison-Martin-Margiela.html|https://fimgs.net/mdimg/dizajneri/o.845.jpg|France|Fashion|https://www.maisonmartinmargiela.com/|L'Oreal|<p></p><p>Maison Martin Margiela, founded in Paris in 1988 by Belgian designer Martin Margiela, is known for its bold, unconventional take on luxury fashion. The brand stepped into the fragrance world in the late 2000s, teaming up with L’Oréal to craft scents that break from tradition. These genderless fragrances aim to stir memories and emotions, staying true to the house’s minimalist and forward-thinking style while weaving together classic roots and modern flair.</p><p>The heart of Maison Margiela’s fragrance line is the Replica collection, introduced in the early 2010s. Drawing inspiration from the brand’s 1994 idea of reimagining past fashion pieces, Replica scents bottle up specific moments of nostalgia. Take Beach Walk, with its sunny mix of coconut, musk, and bergamot, or By the Fireplace, blending vanilla and chestnut for a warm, cozy feel—these fragrances bring personal and shared memories to life. Working with top perfumers like Daniela Andrier, Dominique Ropion, Jacques Cavallier Belletrud, and Marie Salamagne, the brand strikes a fine balance between artistry and skill.</p><p>Maison Margiela has built a solid presence worldwide, available through high-end retailers and its own boutiques, drawing in those who crave unique, memory-rich scents. As part of the OTB Group, it holds onto its quirky, distinctive edge, earning a loyal crowd that cherishes its mix of luxury, nostalgia, and fresh ideas. Fans often praise the fragrances for their staying power and ability to spark vivid feelings, securing the brand’s spot as a standout in the luxury scent scene.</p><p>Designer <b>Maison Martin Margiela</b> has <b>47</b> perfumes in our fragrance base. Maison Martin Margiela is a new fragrance brand. The earliest edition was created in 2010 and the newest is from 2026. Maison Martin Margiela fragrances were made in collaboration with perfumers Daniela Andrier, Dominique Ropion, Claire Liégent, Carlos Benaïm, Louise Turner, Fanny Bal, Jacques Cavallier Belletrud, Marie Salamagne, Olivier Cresp, Sébastien Cresp, Alienor Massenet, Maurice Roucel, Alexandra Carlin, Violaine Collas, Fabrice Pellegrin, Meabh McCurtin, Christophe Raynaud, Delphine Lebeau, Antoine Maisondieu, Nisrine Bouazzaoui Grillié, Suzy Le Helley, Philippe Paparella-Paris and Tanguy Guesnet.</p> <div></div>|48|Frankreich|Francia|France|Francie|Francia|Франция|Francja|França|Γαλλία|法国|フランス|Frankrijk|Француска|Franța|فرنسا|Франція|Франц|프랑스|Fransa|Frankrike|צרפת|Franciaország|Mode|Moda|Mode|Móda|Moda|Мода|Moda|Moda|Μόδα|时尚|ファッション|Mode|Moda|Modă|أزياء|Мода|Загвар өмсгөл|패션|Moda|Mode|אופנה|Divat
